Date,Close/Last,Volume,Open,High,Low,Adjusted Close
09/12/2023,92.782,N/A,92.782,92.782,92.782,92.782
09/11/2023,92.716,N/A,92.716,92.716,92.716,92.716
09/08/2023,92.804,N/A,92.804,92.804,92.804,92.804
09/07/2023,92.812,N/A,92.812,92.812,92.812,92.812
09/06/2023,92.873,N/A,92.873,92.873,92.873,92.873
09/05/2023,92.757,N/A,92.757,92.757,92.757,92.757
09/01/2023,92.759,N/A,92.759,92.759,92.759,92.759
08/31/2023,92.708,N/A,92.708,92.708,92.708,92.708
08/30/2023,92.478,N/A,92.478,92.478,92.478,92.478
08/29/2023,92.463,N/A,92.463,92.463,92.463,92.463
08/28/2023,92.335,N/A,92.335,92.335,92.335,92.335
08/25/2023,92.26,N/A,92.26,92.26,92.26,92.26
08/24/2023,92.549,N/A,92.549,92.549,92.549,92.549
08/23/2023,92.23,N/A,92.23,92.23,92.23,92.23
